ID,collaboration,group,gender,graduate,points,NK1_pre,NK2_pre,NK3_pre,NK_avg_pre,SK1_pre,SK2_pre,SK3_pre,SK_avg_pre,PK1_pre,PK2_pre,PK3_pre,PK_avg_pre,AK1_pre,AK2_pre,AK3_pre,AK_avg_pre,TK1_pre,TK2_pre,TK3_pre,TK_avg_pre,NK1_post,NK2_post,NK3_post,NK_avg_post,SK1_post,SK2_post,SK3_post,SK_avg_post,PK1_post,PK2_post,PK3_post,PK_avg_post,AK1_post,AK2_post,AK3_post,AK_avg_post,TK1_post,TK2_post,TK3_post,TK_avg_post,NK_diff,SK_diff,PK_diff,AK_diff,TK_diff,A1,A2,R1,R2,C1,C2,S1,S2,ARCS_avg,PR1,PR2,PR3,PR4,PR5,PR6,PR_avg,TS1,TS2,TS3,TS4,TS5,TS6,TS_avg,PR_TS_avg,TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK_avg
39,1,5899,0,0,24,1,1,0,0.67,1,1,0,0.67,1,0,1,0.56,1,0,1,0.67,1,1,1,1,1,1,0,0.67,1,1,1,1,1,0,1,0.67,1,0,1,0.67,1,1,1,1,0,0.33,0.11,0,0,5,5,5,5,5,4,5,4,4.75,5,5,5,5,3,5,4.67,5,5,5,5,5,4,4.83,4.75,5,4,5,5,5,5,5,5,4.88
40,1,6732,0,0,24,0,0,0,0,0,1,0,0.33,0,0,0,0.11,1,0,1,0.67,0,1,0,0.33,0,1,1,0.67,1,0,0,0.33,1,0,0,0.33,1,1,1,1,0,1,1,0.67,0.67,0,0.22,0.33,0.33,5,5,5,5,4,5,5,5,4.88,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
41,1,6691,1,0,21,0,1,0,0.33,1,0,1,0.67,1,0,1,0.56,1,0,1,0.67,1,0,1,0.67,1,1,0,0.67,1,1,1,1,1,0,1,0.67,1,0,0,0.33,1,1,1,1,0.33,0.33,0.11,-0.33,0.33,5,5,4,5,4,5,4,3,4.38,5,5,5,4,4,5,4.67,5,4,5,5,5,5,4.83,4.75,4,5,4,4,5,4,5,4,4.38
42,0,0,0,0,6,1,1,0,0.67,1,1,1,1,1,1,1,1,1,0,1,0.67,0,1,1,0.67,1,1,0,0.67,1,1,0,0.67,1,1,1,1,1,0,1,0.67,1,1,1,1,0,-0.33,0,0,0.33,5,4,4,4,3,2,4,1,3.38,,,,,,,,,,,,,,,,,,,,,,,,
43,0,0,0,0,20,1,1,1,1,0,0,1,0.33,1,0,1,0.44,1,0,0,0.33,0,0,1,0.33,0,1,0,0.33,0,1,1,0.67,1,0,1,0.67,1,0,1,0.67,0,1,1,0.67,-0.67,0.33,0.22,0.33,0.33,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,
44,0,0,0,0,21,1,1,0,0.67,1,0,1,0.67,1,1,1,0.89,1,1,0,0.67,1,1,1,1,1,1,0,0.67,1,1,0,0.67,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.11,0.33,0,5,5,5,5,3,3,5,4,4.38,,,,,,,,,,,,,,,,,,,,,,,,
45,0,0,0,0,15,1,1,0,0.67,1,1,1,1,1,0,1,0.67,1,1,0,0.67,1,1,1,1,1,1,0,0.67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.33,0.33,0,5,5,3,4,4,4,4,4,4.13,,,,,,,,,,,,,,,,,,,,,,,,
46,0,0,0,0,17,1,0,0,0.33,0,0,0,0,0,0,1,0.33,1,0,0,0.33,1,1,0,0.67,0,1,0,0.33,0,1,1,0.67,1,0,1,0.67,1,0,1,0.67,1,1,1,1,0,0.67,0.33,0.33,0.33,5,2,5,5,5,4,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
47,0,0,0,1,19,1,1,0,0.67,0,0,1,0.33,0,0,1,0.44,1,1,0,0.67,1,0,1,0.67,1,0,1,0.67,0,1,1,0.67,1,0,1,0.67,1,1,1,1,1,1,1,1,0,0.33,0.22,0.33,0.33,5,4,4,4,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
48,0,0,0,0,8,0,0,0,0,1,1,1,1,0,0,1,0.67,1,1,0,0.67,1,1,1,1,1,1,0,0.67,1,1,1,1,1,1,1,1,1,1,0,0.67,1,1,1,1,0.67,0,0.33,0,0,5,5,3,3,4,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
49,0,0,0,0,19,1,1,0,0.67,1,1,1,1,1,1,1,1,1,0,1,0.67,0,1,1,0.67,1,1,0,0.67,1,1,1,1,1,1,1,1,1,0,1,0.67,1,1,1,1,0,0,0,0,0.33,5,5,5,5,5,5,4,4,4.75,,,,,,,,,,,,,,,,,,,,,,,,
50,0,0,0,0,13,1,1,0,0.67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0,0,0,0,4,4,4,4,4,5,3,3,3.88,,,,,,,,,,,,,,,,,,,,,,,,
51,0,0,0,0,23,0,1,1,0.67,0,1,1,0.67,1,1,0,0.56,1,0,0,0.33,0,1,1,0.67,1,1,0,0.67,1,1,1,1,1,0,1,0.67,1,1,1,1,1,1,1,1,0,0.33,0.11,0.67,0.33,5,5,5,4,4,5,5,5,4.75,,,,,,,,,,,,,,,,,,,,,,,,
52,0,0,1,1,24,0,1,1,0.67,1,1,0,0.67,1,1,1,0.89,1,0,0,0.33,1,1,0,0.67,1,1,1,1,1,1,0,0.67,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0,0.11,0.67,0.33,5,4,4,4,4,4,4,5,4.25,,,,,,,,,,,,,,,,,,,,,,,,
53,0,0,1,0,1,1,0,0,0.33,0,1,0,0.33,1,1,1,0.78,1,0,0,0.33,0,1,1,0.67,1,1,1,1,0,1,1,0.67,1,1,0,0.67,1,0,1,0.67,1,1,1,1,0.67,0.33,-0.11,0.33,0.33,4,4,5,3,3,4,4,2,3.63,,,,,,,,,,,,,,,,,,,,,,,,
54,0,0,0,0,2,0,0,0,0,1,1,0,0.67,0,0,1,0.56,1,1,0,0.67,1,0,1,0.67,1,0,0,0.33,0,1,1,0.67,0,0,1,0.33,1,0,1,0.67,1,1,1,1,0.33,0,-0.22,0,0.33,5,4,4,3,4,2,4,2,3.5,,,,,,,,,,,,,,,,,,,,,,,,
55,0,0,0,0,13,1,1,0,0.67,1,0,1,0.67,1,0,1,0.56,1,0,0,0.33,1,0,0,0.33,1,1,1,1,1,1,1,1,1,0,1,0.67,1,1,1,1,1,1,1,1,0.33,0.33,0.11,0.67,0.67,5,5,4,4,4,4,4,3,4.13,,,,,,,,,,,,,,,,,,,,,,,,
56,0,0,1,0,22,1,1,0,0.67,1,1,1,1,1,0,1,0.67,1,1,0,0.67,1,1,0,0.67,1,1,0,0.67,1,1,1,1,1,0,1,0.67,1,1,1,1,1,1,1,1,0,0,0,0.33,0.33,4,5,4,3,5,5,4,4,4.25,,,,,,,,,,,,,,,,,,,,,,,,
57,0,0,0,0,21,1,1,0,0.67,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.33,1,1,0,0.67,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.67,0,0,0,0,0.33,5,5,4,3,4,5,4,4,4.25,,,,,,,,,,,,,,,,,,,,,,,,
58,0,0,1,0,-1,1,1,1,1,0,1,0,0.33,0,0,0,0.11,0,0,1,0.33,0,0,1,0.33,1,1,0,0.67,1,0,1,0.67,0,0,1,0.33,1,0,1,0.67,1,1,1,1,-0.33,0.33,0.22,0.33,0.67,4,4,4,3,3,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,
59,0,0,1,0,18,1,0,0,0.33,0,1,0,0.33,0,0,1,0.44,0,1,0,0.33,1,0,1,0.67,1,1,0,0.67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.67,0.56,0.67,0.33,4,5,4,3,4,4,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,
60,0,0,0,0,19,1,1,0,0.67,0,0,1,0.33,0,0,1,0.44,1,1,0,0.67,1,0,1,0.67,1,1,0,0.67,1,0,0,0.33,0,0,1,0.33,1,1,1,1,1,1,1,1,0,0,-0.11,0.33,0.33,5,4,5,4,3,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
61,0,0,0,0,21,1,1,0,0.67,1,1,0,0.67,1,0,0,0.22,1,0,1,0.67,0,0,0,0,1,1,0,0.67,1,1,0,0.67,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.78,0.33,1,5,5,4,4,4,5,5,5,4.63,,,,,,,,,,,,,,,,,,,,,,,,
62,0,0,0,0,17,1,0,0,0.33,1,0,1,0.67,0,0,0,0.22,1,0,0,0.33,0,0,0,0,1,1,1,1,0,1,0,0.33,1,0,1,0.67,1,1,1,1,1,1,1,1,0.67,-0.33,0.44,0.67,1,5,5,5,4,4,4,5,4,4.5,,,,,,,,,,,,,,,,,,,,,,,,
63,0,0,0,0,17,1,0,1,0.67,1,1,1,1,1,1,1,1,1,1,0,0.67,1,1,0,0.67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0,0,0.33,0.33,4,5,3,4,3,4,4,3,3.75,,,,,,,,,,,,,,,,,,,,,,,,
64,0,0,0,0,13,1,0,0,0.33,1,1,1,1,1,1,1,1,1,0,0,0.33,0,0,1,0.33,1,1,0,0.67,1,1,1,1,1,0,0,0.33,1,1,1,1,1,1,1,1,0.33,0,-0.67,0.67,0.67,5,5,5,4,4,4,4,4,4.38,,,,,,,,,,,,,,,,,,,,,,,,
65,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0.33,0,0,0,0,1,1,0,0.67,1,1,1,1,1,1,1,1,1,1,1,1,0,0.67,1,0,0.67,4,3,4,3,3,4,3,3,3.38,,,,,,,,,,,,,,,,,,,,,,,,
66,0,0,1,0,17,1,1,0,0.67,1,1,1,1,1,0,1,0.67,1,0,0,0.33,0,0,0,0,1,1,0,0.67,1,1,1,1,1,0,1,0.67,1,1,1,1,1,1,1,1,0,0,0,0.67,1,5,5,5,4,4,4,4,4,4.38,,,,,,,,,,,,,,,,,,,,,,,,
67,0,0,1,0,6,0,0,0,0,1,0,1,0.67,1,0,0,0.22,1,1,0,0.67,1,1,1,1,1,1,0,0.67,0,0,1,0.33,1,0,0,0.33,1,0,1,0.67,1,1,1,1,0.67,-0.33,0.11,0,0,5,5,4,5,4,4,5,3,4.38,,,,,,,,,,,,,,,,,,,,,,,,
68,0,0,1,0,15,1,1,0,0.67,1,1,0,0.67,1,0,1,0.56,1,1,0,0.67,1,1,0,0.67,0,1,0,0.33,1,1,1,1,1,1,1,1,1,1,0,0.67,1,1,1,1,-0.33,0.33,0.44,0,0.33,4,5,5,3,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
69,0,0,0,0,20,1,1,0,0.67,0,1,1,0.67,1,0,1,0.56,1,1,1,1,1,1,0,0.67,1,1,0,0.67,1,1,0,0.67,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.44,0,0.33,5,5,4,4,4,4,5,4,4.38,,,,,,,,,,,,,,,,,,,,,,,,
70,0,0,0,0,17,0,1,0,0.33,0,1,0,0.33,1,0,1,0.44,1,0,0,0.33,0,0,1,0.33,1,1,1,1,1,1,1,1,1,0,1,0.67,1,1,1,1,1,1,1,1,0.67,0.67,0.22,0.67,0.67,4,5,4,4,4,4,5,3,4.13,,,,,,,,,,,,,,,,,,,,,,,,
71,0,0,0,0,18,0,1,0,0.33,0,1,0,0.33,1,0,1,0.44,1,0,0,0.33,1,0,0,0.33,0,1,0,0.33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.67,0.56,0.67,0.67,5,4,3,3,4,3,4,4,3.75,,,,,,,,,,,,,,,,,,,,,,,,
72,0,0,1,1,17,0,1,0,0.33,1,0,1,0.67,1,1,1,0.89,1,1,0,0.67,0,1,1,0.67,1,1,0,0.67,1,1,0,0.67,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0,0.11,0.33,0.33,5,5,5,5,3,4,4,3,4.25,,,,,,,,,,,,,,,,,,,,,,,,
73,0,0,0,0,14,0,0,0,0,1,1,1,1,0,0,1,0.67,1,0,1,0.67,0,1,0,0.33,0,1,0,0.33,1,1,1,1,1,0,1,0.67,1,1,1,1,1,1,1,1,0.33,0,0,0.33,0.67,4,5,2,3,4,4,4,4,3.75,,,,,,,,,,,,,,,,,,,,,,,,
74,0,0,0,0,15,1,1,0,0.67,0,1,0,0.33,1,1,1,0.78,1,1,1,1,1,1,0,0.67,1,1,1,1,1,1,0,0.67,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.22,0,0.33,4,5,3,3,3,4,2,1,3.13,,,,,,,,,,,,,,,,,,,,,,,,
75,0,0,1,0,14,0,0,0,0,1,0,1,0.67,1,0,1,0.56,1,0,0,0.33,0,1,0,0.33,1,0,1,0.67,1,0,0,0.33,1,1,1,1,1,1,0,0.67,1,1,1,1,0.67,-0.33,0.44,0.33,0.67,3,4,4,4,4,4,3,3,3.63,,,,,,,,,,,,,,,,,,,,,,,,
76,0,0,0,1,18,1,1,0,0.67,1,1,1,1,1,1,1,1,1,0,0,0.33,1,1,0,0.67,1,1,0,0.67,1,1,1,1,1,1,1,1,1,0,0,0.33,1,1,1,1,0,0,0,0,0.33,4,5,4,3,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
77,0,0,0,0,19,0,1,0,0.33,1,1,1,1,1,0,1,0.67,1,0,0,0.33,0,0,0,0,1,1,0,0.67,1,1,1,1,1,0,1,0.67,1,1,1,1,1,1,1,1,0.33,0,0,0.67,1,5,5,5,4,2,4,5,4,4.25,,,,,,,,,,,,,,,,,,,,,,,,
78,0,0,0,0,16,1,1,0,0.67,1,0,1,0.67,1,0,1,0.56,1,1,0,0.67,1,0,1,0.67,1,1,0,0.67,1,1,1,1,1,0,1,0.67,1,1,1,1,1,1,1,1,0,0.33,0.11,0.33,0.33,5,5,4,3,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
79,0,0,0,1,22,1,1,0,0.67,1,1,1,1,1,0,1,0.67,1,1,1,1,1,0,0,0.33,1,1,1,1,1,1,1,1,1,0,1,0.67,1,1,1,1,1,1,1,1,0.33,0,0,0,0.67,5,5,5,4,5,5,4,4,4.63,,,,,,,,,,,,,,,,,,,,,,,,
80,0,0,0,1,24,1,1,1,1,1,1,1,1,1,0,1,0.67,1,1,0,0.67,1,1,0,0.67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.67,0,1,1,0.67,0,0,0.33,0,0,5,5,4,4,5,5,5,5,4.75,,,,,,,,,,,,,,,,,,,,,,,,
81,0,0,1,0,13,0,1,1,0.67,1,0,1,0.67,1,1,1,0.89,1,0,0,0.33,0,1,0,0.33,0,1,0,0.33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.33,0.33,0.11,0.67,0.67,5,5,4,4,2,2,4,2,3.5,,,,,,,,,,,,,,,,,,,,,,,,
82,0,0,0,1,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,
83,0,0,0,1,22,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.67,1,1,1,1,1,1,0,0.67,1,1,1,1,1,1,1,1,1,0,1,0.67,1,1,1,1,-0.33,0,0,0,0,5,5,5,4,4,5,5,4,4.63,,,,,,,,,,,,,,,,,,,,,,,,
84,0,0,0,1,18,1,1,1,1,1,0,1,0.67,1,1,1,0.89,1,1,0,0.67,0,1,0,0.33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.33,0.11,0.33,0.67,5,5,5,4,5,5,3,4,4.5,,,,,,,,,,,,,,,,,,,,,,,,
85,0,0,0,1,20,1,1,0,0.67,1,1,1,1,1,1,1,1,1,0,1,0.67,0,1,0,0.33,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.33,1,1,1,1,0.33,0,0,-0.33,0.67,3,5,3,3,5,4,4,4,3.88,,,,,,,,,,,,,,,,,,,,,,,,
86,0,0,0,1,23,1,0,0,0.33,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0.33,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.67,0,1,1,0.67,0.67,0,0,-0.33,0.33,4,5,5,5,5,4,3,5,4.5,,,,,,,,,,,,,,,,,,,,,,,,
87,0,0,0,1,20,1,1,1,1,1,1,1,1,1,0,1,0.67,1,1,1,1,1,1,0,0.67,1,1,1,1,1,1,1,1,1,0,1,0.67,1,1,1,1,1,1,1,1,0,0,0,0,0.33,4,5,4,4,4,5,4,3,4.13,,,,,,,,,,,,,,,,,,,,,,,,
88,0,0,0,1,12,0,0,0,0,1,1,1,1,1,0,0,0.33,1,0,1,0.67,1,1,0,0.67,1,1,1,1,1,1,0,0.67,0,1,1,0.67,1,1,1,1,1,1,1,1,1,-0.33,0.33,0.33,0.33,4,4,3,3,3,4,4,2,3.38,,,,,,,,,,,,,,,,,,,,,,,,
89,0,0,0,1,23,1,1,0,0.67,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.67,1,1,1,1,0,1,1,0.67,1,1,1,1,1,1,1,1,0,0,-0.33,0,0,5,5,4,3,4,3,4,2,3.75,,,,,,,,,,,,,,,,,,,,,,,,
